,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1134,NonResidential,Mixed Use Property,98102.0,1959703275,3,NORTHEAST,47.65205,-122.3218,1.0,1,20233,Office,,630250.125,18.16,18,0.0,0.3580783867938516,0.32837443779963427,0.3135471754065141
1136,NonResidential,Small- and Mid-Sized Office,98103.0,1972201005,6,LAKE UNION,47.65178,-122.351,1.0,4,39926,Office,,1010967.688,14.49,10,0.31057456294144165,0.6190536759094378,0.31544136352073265,0.06550496056982956
1139,NonResidential,Small- and Mid-Sized Office,98103.0,1972202635,4,LAKE UNION,47.64904,-122.34609,1.0,3,31417,Office,94.0,1126157.25,28.09,31,0.25814049718305376,0.0,0.0,0.0
1142,NonResidential,Self-Storage Facility,98101.0,1977201055,7,DOWNTOWN,47.61179,-122.3404,1.0,6,46580,Self-Storage Facility,,710275.375,4.95,88,0.0,0.0,0.0,0.0
1144,NonResidential,Retail Store,98101.0,1977201070,7,DOWNTOWN,47.61165,-122.34011,1.0,2,25920,Retail Store,5.0,478690.0938,3.34,100,0.0,0.0,0.0,0.0
1146,NonResidential,Retail Store,98121.0,1977201135,7,DOWNTOWN,47.61236,-122.34144,1.0,2,25920,Retail Store,93.0,1011667.5,13.71,97,0.0,0.0,0.0,0.0
1150,NonResidential,Small- and Mid-Sized Office,98121.0,1977201181,7,DOWNTOWN,47.61297,-122.34324,1.0,2,25920,Office,75.0,1793851.375,46.48,97,0.0,0.0,0.0,0.0
1154,NonResidential,Small- and Mid-Sized Office,98101.0,1978200285,3,EAST,47.61098,-122.32766,1.0,4,39760,Office,92.0,2478960.0,149.91,91,0.0,0.0,0.0,0.0
1155,NonResidential,Other,98101.0,1978200290,3,EAST,47.61109,-122.32721,1.0,3,30971,Other,,2823184.0,94.85,96,0.0,0.0,0.0,0.0
1156,NonResidential,Small- and Mid-Sized Office,98101.0,1978200305,3,EAST,47.61063,-122.32741,1.0,3,22667,Office,1.0,3767135.0,148.55,70,0.0,0.0,0.0,0.0
1158,NonResidential,Warehouse,98103.0,1972202680,6,LAKE UNION,47.64965,-122.34913,1.0,2,33840,Non-Refrigerated Warehouse,,2227638.25,60.88,89,0.0,0.5537825059101655,0.4036643026004728,0.0425531914893617
1159,NonResidential,Mixed Use Property,98103.0,1972202755,6,LAKE UNION,47.6502,-122.34959,5.0,3,41827,Multifamily Housing,,4193371.0,110.17,15,0.22057522652831904,0.3748063338672829,0.3709986607494551,0.254195005383262
1161,NonResidential,Small- and Mid-Sized Office,98103.0,1972202940,6,LAKE UNION,47.65114,-122.34954,1.0,5,33740,Office,79.0,1291405.25,9.0,15,0.17812685240071133,0.607871608712266,0.33481085212074896,0.0573175391669851
